"ADDRESS","LATITUDE","LONGTITUDE","address"
"345 CLEMENTI AVENUE 5 SINGAPORE 120345","1.31770281154049","103.769076731999","120345"
"420A CLEMENTI AVENUE 1 PCF SPARKLETOTS PRESCHOOL @ CLEMENTI 420A (CC) SINGAPORE 121420","1.30964791583249","103.768667399399","121420"
"352 CLEMENTI AVENUE 2 OCBC CLEMENTI AVENUE 2 -FAIRPRICE SINGAPORE 120352","1.31427265951788","103.771360860916","120352"
"51 SOON LEE ROAD SCAL RECREATION CENTRE SINGAPORE 628088","1.33263698539505","103.69913435107","628088"
"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538","1.3192381141191","103.732882477141","608538"
"5 JALAN PAPAN DBS WESTLITE DORMITORY (JALAN PAPAN) SINGAPORE 619396","1.32207201524401","103.727545771811","619396"
"1 JALAN PAPAN TERUSAN RECREATION CENTRE SINGAPORE 619392","1.32048425814831","103.726722833663","619392"
"23 PENJURU WALK CASSIA AT PENJURU SINGAPORE 608537","1.31800980644852","103.73194890136","608537"
"2D JALAN PAPAN DBS AVERY LODGE SINGAPORE 619415","1.32124572258872","103.729969760603","619415"
"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538","1.3192381141191","103.732882477141","608538"
"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538","1.3192381141191","103.732882477141","608538"
"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538","1.3192381141191","103.732882477141","608538"
"17 KIAN TECK LANE BLUE STARS DORMITORY SINGAPORE 627851","1.33314578370484","103.695248109449","627851"
"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538","1.3192381141191","103.732882477141","608538"
"1 JALAN PAPAN TERUSAN RECREATION CENTRE SINGAPORE 619392","1.32048425814831","103.726722833663","619392"
"1 JALAN PAPAN TERUSAN RECREATION CENTRE SINGAPORE 619392","1.32048425814831","103.726722833663","619392"
"30 PENJURU PLACE JURONG PENJURU DORMITORY 2 SINGAPORE 608557","1.31621113527515","103.732527239032","608557"
"70 TUAS SOUTH AVENUE 1 TUAS VIEW DORMITORY SINGAPORE 637285","1.31409942872378","103.625894546863","637285"
"3 TUAS SOUTH STREET 12 TUAS SOUTH DORMITORY SINGAPORE 636947","1.27164225840049","103.63351227878","636947"
"70 TUAS SOUTH AVENUE 1 TUAS VIEW DORMITORY SINGAPORE 637285","1.31409942872378","103.625894546863","637285"
"11 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638121","1.31100240690691","103.631572303038","638121"
"5 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638127","1.31146788847722","103.630340020449","638127"
"2 TUAS SOUTH STREET 2 SPRINTECS INDUSTRIAL BUILDING SINGAPORE 637895","1.30808995572941","103.63154765251","637895"
"14 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638118","1.3106942813709","103.630190012756","638118"
"115 TUAS VIEW WALK 1 WESTLINK TECHPARK SINGAPORE 637734","1.30091123508276","103.627789990003","637734"
"12 TUAS SOUTH STREET 13 TUAS SOUTH RECREATION CENTRE SINGAPORE 636937","1.27030977810151","103.634163905611","636937"
"21 TUAS VIEW SQUARE SINGAPORE 637640","1.29891712474996","103.627532390173","637640"
"123 TUAS VIEW WALK 1 WESTLINK TECHPARK SINGAPORE 637738","1.30071425045564","103.628315270968","637738"
"32 TUAS VIEW SQUARE SINGAPORE 637778","1.29865806391236","103.62808808355","637778"
"962 JURONG WEST STREET 91 SINGAPORE 640962","1.34180915377904","103.691512648994","640962"
"7 JURONG WEST AVENUE 5 SINGAPORE 649486","1.34878489718303","103.703415655017","649486"
"638 JURONG WEST STREET 61 OCBC PIONEER MALL SINGAPORE 640638","1.34174316145003","103.697286174545","640638"
"50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","1.34458794516981","103.682758049858","639798"
"1 JOO KOON CIRCLE OCBC BENOI RD- FAIRPRICE SINGAPORE 629117","1.32561764102293","103.678410551563","629117"
"1 JURONG WEST CENTRAL 2 OCBC JURONG POINT SHOPPING CENTRE SINGAPORE 648886","1.33945200436319","103.706685012654","648886"
"399 YUNG SHENG ROAD OCBC TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399","1.33484487471259","103.720462024278","610399"
"3 YUAN CHING ROAD OCBC YUAN CHING ROAD - SHENG SIONG SUPERMARKET SINGAPORE 618642","1.325468074943","103.725221538081","618642"
"63 YUNG KUANG ROAD OCBC YUNG KUANG ROAD - FAIRPRICE SINGAPORE 610063","1.33205938554958","103.722452881172","610063"
"63 JURONG WEST CENTRAL 3 BOON LAY BUS INTERCHANGE SINGAPORE 648331","1.33931504032005","103.705350996191","648331"
"555 UPPER JURONG ROAD DBS JURONG APARTMENTS SINGAPORE 638368","1.32882041921836","103.677161735755","638368"
"345 JURONG EAST STREET 31 OCBC JURONG EAST ST 31 - FAIRPRICE SINGAPORE 600345","1.34551210586752","103.73121914575","600345"
"544 JURONG WEST STREET 42 SINGAPORE 640544","1.35239358298744","103.71575950591","640544"
"498 JURONG WEST STREET 41 SINGAPORE 640498","1.34833335760515","103.724307319237","640498"
"221 BOON LAY PLACE OCBC BOON LAY SHOPPING CENTRE SINGAPORE 640221","1.34637376407877","103.712472819666","640221"
"442 JURONG WEST AVENUE 1 SINGAPORE 640442","1.35151847519437","103.719496480131","640442"
"492 JURONG WEST STREET 41 SINGAPORE 640492","1.34994543559348","103.725180466645","640492"
"135 JURONG GATEWAY ROAD OCBC JURONG GATEWAY ROAD - FAIRPRICE SINGAPORE 600135","1.33385165809403","103.739826358818","600135"
"3 GATEWAY DRIVE OCBC WESTGATE SINGAPORE 608532","1.33415752008876","103.742766489597","608532"
"1 VENTURE AVENUE POSSO PRESCHOOL @ BIG BOX PTE. LTD. SINGAPORE 608521","1.33183269894747","103.744879164496","608521"
"50 JURONG GATEWAY ROAD OCBC JEM - FAIRPRICE SINGAPORE 608549","1.3325523295069","103.743262234833","608549"
"104 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600104","1.33658465311802","103.737623303842","600104"
"1 JALAN ANAK BUKIT OCBC BUKIT TIMAH PLAZA - FAIRPRICE SINGAPORE 588996","1.3386316527745","103.778585430975","588996"
"2 JURONG EAST STREET 21 OCBC IMM BUILDING - NEAR FOOD KIOSK SECTION SINGAPORE 609601","1.33491758755437","103.746877132868","609601"
"284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","1.34670228583941","103.757242525171","650284"
"144 UPPER BUKIT TIMAH ROAD DBS BEAUTY WORLD CENTRE SINGAPORE 588177","1.34241264188642","103.776539385406","588177"
