"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"30 TAMPINES STREET 34 EAST SPRING SECONDARY SCHOOL SINGAPORE 529231",1.35622508992581,103.960640700298,"EAST SPRING SECONDARY SCHOOL","school"
"41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869",1.40009139510996,103.907847599114,"EDGEFIELD PRIMARY SCHOOL","school"
"36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814",1.40059309981824,103.902687385465,"EDGEFIELD SECONDARY SCHOOL","school"
"11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866",1.37451269377776,103.945128117139,"ELIAS PARK PRIMARY SCHOOL","school"
"10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521",1.45403837499301,103.817436231731,"ENDEAVOUR PRIMARY SCHOOL","school"
"2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838",1.36213757183547,103.841286169122,"EUNOIA JUNIOR COLLEGE","school"
"95 JALAN EUNOS EUNOS PRIMARY SCHOOL SINGAPORE 419529",1.32447629876368,103.904541254016,"EUNOS PRIMARY SCHOOL","school"
"31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908",1.44415332824735,103.794577787757,"EVERGREEN PRIMARY SCHOOL","school"
"11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489",1.44149131273737,103.794137756171,"EVERGREEN SECONDARY SCHOOL","school"
"100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648",1.30054082453424,103.785438270044,"FAIRFIELD METHODIST SCHOOL (PRIMARY)","school"
"102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649",1.30163374395823,103.784099647149,"FAIRFIELD METHODIST SCHOOL (SECONDARY)","school"
"31 GANGSA ROAD FAJAR SECONDARY SCHOOL SINGAPORE 678972",1.375600053443,103.763998914082,"FAJAR SECONDARY SCHOOL","school"
"2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567",1.31236856978581,103.850766162813,"FARRER PARK PRIMARY SCHOOL","school"
"307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680",1.32980598760785,103.931710293058,"FENGSHAN PRIMARY SCHOOL","school"
"70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538",1.39726966050479,103.880330305684,"FERN GREEN PRIMARY SCHOOL","school"
